Id,X,Y,Rotation
8,10000,0,0
8,20000,10800,0
8,7500,26200,270
8,27500,2000,180
2,12500,19200,0
8,12500,26400,90
8,16000,27300,0
8,12500,26400,180
8,2500,31300,270
8,22500,15600,180
8,12500,19200,180
8,17500,15400,180
8,15000,28400,180
8,20000,32000,180
8,30500,21800,180
8,10000,23600,0
8,34300,19400,0
8,37500,15800,0
8,25500,19000,0
8,2500,3600,0
8,32500,1200,0
8,21000,26500,180
8,32300,23600,270
8,6000,28000,90
8,26000,28300,90
8,5000,16200,0
8,25200,36700,0
8,21600,39200,270
8,23500,26500,0
8,12500,0,0
8,17500,10800,180
8,20000,32000,270
8,18500,26500,0
8,12500,10800,0
2,10500,35300,90
8,17500,1800,180
8,27700,39500,180
8,31800,16600,180
8,30200,37700,180
8,40000,3800,180
8,28000,19000,0
8,24200,28300,90
8,15000,24800,180
8,34300,26800,0
8,30000,33000,180
8,7500,5400,180
8,35000,18600,180
8,2500,18000,0
8,17500,5400,0
8,25500,20800,0
8,25000,2000,180
8,14800,31000,90
8,0,0,0
8,12500,17400,180
8,17000,23000,0
1,40000,34000,180
8,22500,3800,180
8,2500,23400,270
8,25000,12000,0
8,30000,13800,180
8,26649,26207,0
8,36800,27800,0
8,36800,32300,90
8,10500,34300,0
8,30000,10200,0
8,28000,23600,180
8,25000,10200,0
8,10000,4600,0
8,12500,25400,0
1,3000,35600,0
8,23500,26500,270
8,25000,34800,0
8,35000,34800,180
8,19500,23000,0
8,36800,29800,90
8,0,40000,270
8,27500,33000,180
8,16000,24800,10
8,5000,20800,180
8,12000,13000,90
8,32500,5800,180
8,1800,40000,270
1,19300,8300,0
8,27500,2800,0
8,27500,4800,180
8,15500,32800,270
8,35300,12900,0
8,5000,10800,180
8,25500,21600,180
8,35300,13900,180
8,23000,18000,0
8,28000,19000,180
8,2500,9000,180
5,10500,32500,270
8,17500,10800,270
8,23500,26500,180
8,35300,10300,270
8,4300,20900,0
8,22500,33000,0
8,17500,6400,180
8,40000,7400,90
8,22500,9200,0
8,35000,5800,0
8,35300,12100,180
8,32500,4000,180
8,2500,18000,180
8,36800,29800,0
8,30000,5800,180
8,2800,37500,180
8,10000,18200,180
8,37800,10400,90
8,22500,3800,0
8,15000,24800,270
8,2500,23400,180
8,25000,33000,0
8,25300,24000,0
8,36800,24000,0
8,22500,2000,180
1,32700,37700,0
8,0,9000,0
8,32300,21100,270
8,0,23400,0
8,30500,24600,0
8,25000,36600,90
8,12500,17400,0
8,10500,32500,90
8,40000,7400,180
8,0,25200,0
8,35000,3800,0
8,25000,2000,0
8,6000,34300,0
8,25000,35800,180
8,6100,39300,270
8,37500,18600,180
8,32500,15800,0
8,10000,21800,180
8,7500,19000,0
8,17500,3600,0
8,2500,23400,0
8,26649,28007,0
8,6100,39300,180
8,30000,12000,180
8,2500,12600,0
8,12500,8000,180
8,36800,22200,0
8,25500,17200,180
8,12500,2800,180
8,32700,37700,180
8,40000,18600,180
8,30000,34800,0
8,2500,4600,180
8,7500,28000,180
8,17500,4600,180
8,21000,29500,270
8,25500,23600,180
8,12500,4600,180
8,15500,38900,180
8,7500,1800,0
8,32800,9300,0
8,5000,25200,0
8,20000,12600,0
8,7500,1800,180
8,35000,15800,0
8,34300,24000,0
8,10000,23600,180
8,17500,10800,0
8,5000,1800,0
8,2500,16200,180
8,31000,10000,270
8,6000,30500,90
8,37500,3800,0
8,23000,18000,180
8,21600,39200,180
8,300,35700,270
8,19100,37400,90
8,32300,21800,90
8,15000,10800,0
8,15000,10800,180
8,13000,34300,0
8,19800,34800,180
8,7500,3600,0
8,37500,18600,0
8,37500,36800,180
8,4000,33100,180
8,20000,8200,180
8,12500,19200,90
8,2500,21600,180
8,4000,35600,270
8,17300,37400,90
8,5000,7200,0
8,22500,7400,0
8,10000,21800,0
8,37500,37600,0
8,36800,24000,180
8,15000,2800,180
8,13000,36100,0
8,2500,5400,0
8,32500,2200,180
8,32500,34800,0
8,22500,34800,180
8,20000,15400,180
8,25000,3800,180
8,2500,1800,0
8,37500,3800,180
8,2500,7200,180
8,34000,33000,270
8,2500,14400,180
8,36800,22200,180
8,30000,12000,0
8,25000,7400,180
8,12500,3600,0
8,5000,5400,0
8,15000,8000,0
8,4000,33100,90
8,6000,32500,0
8,15000,6400,180
8,5000,26200,180
8,30500,19300,270
8,20000,15400,90
8,28000,17200,0
8,2500,2800,180
8,7500,10800,180
8,7500,13600,0
8,2500,19800,180
8,20000,32000,0
8,27500,1000,0
8,5000,18000,0
8,36800,29800,180
8,35000,15800,180
8,15000,28400,90
1,40000,12400,90
8,7500,20800,180
8,5000,9000,180
8,37500,1000,0
8,13000,38900,180
8,36800,20400,0
8,25000,33000,180
8,10000,16400,180
8,30500,25600,180
8,22500,13600,0
8,30200,39500,180
8,5000,10800,0
8,15500,35300,0
8,17300,32000,0
8,13000,34300,180
8,17500,0,0
8,35000,6800,90
8,7500,5400,0
8,12500,15600,0
8,30000,31200,180
8,20000,13600,180
8,32500,3000,0
8,21600,37400,180
8,22500,6400,180
8,25000,13600,180
8,2500,10800,0
8,2500,28000,90
8,30000,34800,180
8,15500,35300,270
8,37500,15800,180
8,27500,34800,0
8,5000,1800,180
8,32300,19300,90
8,10000,1800,180
8,30200,37700,0
8,7500,15400,180
8,15000,1800,0
8,20000,6400,0
8,5000,28000,180
8,2500,28000,180
8,17500,30200,180
8,28000,21800,0
8,35000,6800,180
8,12500,9000,270
8,37100,10300,270
8,20000,3600,180
8,13000,37100,180
8,36800,25800,0
8,17500,29200,0
8,17000,15500,90
8,28000,17200,180
8,36800,26800,180
8,40000,9900,90
8,30000,13800,0
8,37500,2000,180
8,17000,18000,270
8,2500,16200,0
8,2500,14400,0
8,2500,11800,180
8,5000,12600,0
8,30000,33000,0
8,6800,22700,90
8,37500,36800,90
8,27500,14800,180
8,7500,26200,0
8,12500,12600,0
8,12500,21700,0
8,27500,13800,0
8,15000,15400,180
