Id,X,Y,Rotation
6,7000,10500,270
6,37000,3500,270
6,11000,7000,270
6,21000,17000,180
6,20000,35000,90
6,16500,21000,0
6,3500,21500,0
6,14500,24500,180
6,29000,32000,90
6,7500,35500,270
6,11000,40000,270
6,27000,7000,270
6,31000,0,90
6,16500,21000,90
6,21000,3500,90
6,17000,35000,90
6,14500,14000,270
6,38000,10500,270
6,7000,36500,90
6,25500,31500,270
6,34250,32000,0
6,36000,35000,90
6,23000,3500,270
6,27000,21500,0
6,4000,32000,0
6,23000,0,90
6,33000,7000,270
6,7000,24500,180
6,11000,12500,180
6,17500,17000,0
6,6000,0,90
6,20000,24000,180
6,0,3500,270
6,35000,10500,270
6,22000,36500,270
6,4000,12500,180
6,26000,35000,270
6,14000,36500,90
6,22000,35000,180
6,14500,17500,270
6,39000,3500,90
6,30000,7000,270
6,2000,3500,90
6,1000,40000,270
6,20500,10500,90
6,3000,0,90
6,9000,10500,270
6,2000,7000,270
6,26000,10500,0
6,18500,32000,0
6,17000,0,90
6,25000,10500,270
6,8000,40000,270
6,14500,35000,180
6,14000,3500,270
6,34000,3500,270
6,14000,3500,90
6,25000,3500,270
6,32000,10500,270
6,34000,10500,0
6,25500,28000,270
6,18000,7000,90
6,28000,10500,270
6,11000,10500,0
6,12000,10500,270
6,32900,21500,0
6,40000,0,90
6,25500,31000,180
6,28500,24500,90
6,10500,24500,180
6,35000,7000,90
6,20000,40000,270
6,30500,24500,180
6,17000,38500,270
6,20500,10500,0
6,40000,37000,180
6,10500,32000,90
6,17500,17500,90
6,0,10500,270
6,17000,3500,270
6,37750,35000,180
6,17500,14000,90
6,5500,3500,90
6,17500,14000,270
6,14000,3500,0
6,18000,7000,270
6,7000,7000,90
6,11000,3500,270
6,12000,7000,90
6,21000,7000,90
6,21000,7000,270
6,31000,3500,270
6,3000,3500,270
6,14500,21000,270
6,3500,35000,180
6,18500,35000,180
6,15000,7000,90
6,25000,24500,90
6,7000,21500,0
6,40000,40000,180
6,30000,10500,0
6,21000,20000,180
6,11000,32000,0
6,2000,10500,270
6,7500,35000,180
6,22000,28000,0
6,22000,28000,270
6,4000,10500,0
6,17500,14000,0
6,18000,7000,180
6,36500,37000,0
6,23500,24500,180
6,17500,10500,90
6,28500,28000,90
6,27000,3500,90
6,20000,0,90
6,30000,3500,90
6,27000,24500,180
6,22000,31000,0
6,14000,38500,270
6,11000,36500,90
6,25000,33000,90
6,28000,3500,270
6,37000,0,90
6,20000,21500,0
6,23000,36500,90
6,24000,3500,90
6,39900,24500,180
6,23000,40000,270
6,34000,0,90
6,23500,21500,0
6,29000,35500,90
6,21000,7000,0
6,36400,21500,0
6,33000,3500,90
6,26000,39000,270
6,26000,36500,90
6,28000,0,90
6,36000,3500,90
6,4000,40000,270
6,15000,10500,270
6,36400,24500,180
6,4000,36500,90
6,36000,7000,270
6,0,32000,0
6,11000,21500,0
6,18000,10500,270
6,28000,7000,90
6,32000,7000,90
6,0,21500,0
6,14000,0,90
6,5000,7000,90
6,3500,24500,180
6,15000,32000,0
6,20000,3500,270
6,38000,7000,90
6,24500,10000,180
6,24000,7000,270
