Id,X,Y,Rotation
5,29000,23900,180
6,15500,12000,180
1,3600,28000,270
6,15500,11000,0
1,23500,32500,270
3,25500,23900,0
6,32900,28000,180
6,25900,36000,270
1,34500,16500,270
1,19400,11600,0
6,27500,9000,180
1,0,28000,270
2,23500,5500,270
6,15500,9000,180
6,23500,36500,0
1,34500,12000,90
3,17000,24500,0
1,30900,12000,90
1,7200,23500,90
2,16100,500,90
2,16500,22100,180
6,11000,19400,270
2,11000,22500,0
6,13000,15400,0
2,5500,16100,180
1,12000,37600,0
1,30900,16500,270
6,16500,17900,270
6,12000,6000,0
1,3600,23500,90
6,12100,26500,0
1,16000,26400,180
6,16500,18400,180
1,12000,34000,270
1,36900,16500,270
1,27100,28000,90
5,20000,18500,0
6,15500,15400,180
6,24000,9000,0
2,29000,18500,180
6,36400,25750,180
1,23500,5500,0
1,40000,23500,90
6,15600,29500,180
1,23900,15200,180
1,11000,12000,0
2,11000,16100,180
6,16500,17900,0
1,24000,14600,0
1,23900,12200,0
1,12000,34000,0
2,5500,12000,0
6,27000,39500,180
1,7200,28000,270
6,23500,27500,270
6,12000,9000,0
3,23500,29000,180
6,13000,18400,0
2,0,12000,0
1,10800,23500,90
2,27600,0,90
2,12000,6000,270
1,16500,37600,180
6,20000,20900,180
6,19000,14000,180
6,20000,20900,90
6,17000,24400,270
6,25900,32500,90
1,36400,28000,270
1,15600,29500,90
6,29000,27900,180
6,36400,28000,180
6,27500,12000,180
6,23500,18500,180
6,20000,15500,0
