Id,X,Y,Rotation
6,11000,2000,0
6,25000,8500,0
6,33000,13500,0
6,10500,8500,0
6,39000,7000,180
6,17500,17000,180
6,29000,22000,90
6,29500,28500,180
6,20500,38000,0
6,29500,25500,0
6,31500,17000,180
6,28500,35000,0
6,32000,37000,0
6,16000,29500,270
6,19500,29500,270
6,7500,2000,0
6,24500,14500,180
6,15500,24500,270
6,7000,30000,0
6,35000,40000,180
6,18000,3000,180
6,37000,34000,270
6,2500,33000,90
6,7500,40000,180
6,9500,37500,0
6,500,32500,270
6,7000,9000,180
6,13500,36000,0
6,14500,0,0
6,32000,3000,0
6,25000,32000,0
6,19000,22500,90
6,10500,11000,180
6,32000,38000,180
6,21000,14500,180
6,35500,7000,0
6,21000,37000,180
6,2500,36500,0
6,32000,14500,180
6,5833,28000,180
6,3889,2000,0
6,10500,31250,0
6,24500,38000,180
6,26000,25500,0
6,7000,8000,0
6,28500,4000,0
6,32000,12500,180
6,36500,30500,180
6,18000,3500,90
6,7500,2000,180
6,14000,34250,180
6,32000,0,0
6,32000,34500,180
6,21000,14500,0
6,9500,28000,180
6,17500,14500,0
6,26000,24500,270
6,21500,4000,180
6,28000,14500,180
6,17500,33000,0
6,28000,17500,90
6,2500,33000,0
6,21000,17500,180
6,18000,4000,0
6,3889,3111,135
6,35500,8000,180
6,3500,9000,180
6,3500,29000,90
6,35500,6000,180
6,11000,5500,0
6,22500,22000,0
6,28500,7500,0
6,7000,14000,180
6,28000,35000,180
6,28000,37000,180
6,10500,30000,180
6,19000,26000,90
6,13000,28000,180
6,3500,11000,0
6,17000,37000,0
6,21500,7000,180
6,24500,11500,0
6,25000,7000,180
6,10500,33000,180
6,5833,25000,0
6,26000,29500,180
1,15500,20900,180
6,22500,26000,180
6,35500,11000,0
6,7500,17000,180
6,29500,28500,0
6,28000,40000,180
6,7389,5000,180
6,14000,15000,180
6,32000,10500,180
6,11000,17000,180
6,21000,35000,0
6,3500,14000,0
6,37000,30500,270
6,25000,2000,180
6,28500,11500,180
6,14000,14000,0
6,28500,2000,180
6,0,12000,0
6,3500,28000,0
6,32000,4000,180
6,3500,15000,180
6,14500,6500,270
6,33000,28500,180
6,10500,28250,0
6,25500,8500,270
6,33750,34000,270
6,40000,30500,90
6,26000,32000,270
6,28500,5000,90
6,35500,13000,180
6,0,9000,0
6,35500,3000,180
6,17500,36000,180
6,33500,27500,0
6,20500,40000,180
6,40000,14000,180
6,10500,11500,0
6,28000,17500,180
6,10500,14000,180
6,0,5586,0
6,2333,25000,0
6,3500,12000,180
6,7000,5000,0
6,10500,8000,180
6,37000,30500,90
6,14500,2000,180
6,17500,14000,180
6,35500,4000,0
6,17500,11500,0
6,7000,14000,0
6,24500,17500,180
6,17000,39000,180
6,13500,37000,180
6,19000,22500,0
6,14000,33000,0
6,10000,36000,180
6,32000,7500,180
6,6000,37000,0
6,22500,26000,90
6,35500,37000,180
6,24500,35000,180
6,14000,8500,180
6,14000,31250,180
6,32000,34000,0
6,28500,5000,180
6,14000,11000,0
6,28000,38000,0
6,32000,10000,0
6,6000,36000,180
6,11000,18500,270
6,33000,32500,180
6,13000,28000,270
6,14500,5000,180
6,40000,27000,90
6,12000,21500,0
6,26000,27000,180
6,9500,25000,0
6,22500,17500,0
6,25000,2000,0
6,7000,11000,0
6,3500,6000,0
6,7000,11000,180
6,7000,31000,180
6,11000,5000,180
6,11000,2000,180
6,35750,34000,0
6,33000,25500,0
6,21500,4000,0
6,21500,2000,180
6,14000,15000,90
6,15500,24500,180
6,15500,20900,270
6,24500,12500,180
6,6500,33000,0
6,28500,1000,0
6,25000,4000,180
6,26000,20500,180
6,16000,24500,90
6,35500,10000,180
6,24500,14500,0
6,24500,37000,0
6,36500,16500,180
6,14000,11500,180
6,3500,31000,0
6,29000,28500,90
6,26000,25000,180
6,35500,9000,0
