Id,X,Y,Rotation
1,22000,0,90
1,17000,17500,90
1,2000,10500,90
1,29000,28500,180
1,22500,7000,90
1,4000,3500,180
1,4000,17500,270
1,20000,17500,270
1,17000,14000,90
1,21000,10500,90
1,29000,17500,90
2,5000,14000,270
1,4000,3500,270
1,8600,12500,270
1,500,500,0
1,18000,13000,270
1,17000,21000,270
1,24000,10500,90
1,14000,21000,270
1,3500,21000,0
1,25000,0,90
1,3500,23500,180
1,10000,3500,270
1,15000,10500,90
1,14000,21500,180
1,3500,21000,270
1,23000,14000,90
1,7000,14000,90
1,10000,1500,90
1,12000,14000,270
1,30400,21000,90
1,2000,10500,270
1,22500,10500,270
1,14000,17500,270
1,28000,0,90
1,26000,14000,90
1,5000,7000,90
1,25500,25500,0
1,0,17500,0
1,7000,18000,0
1,7000,5000,270
1,25500,7000,90
1,2000,7000,270
1,25400,22500,90
1,23000,21000,270
2,8600,9000,90
1,15000,7000,90
1,29500,24500,0
1,19000,0,90
1,18000,10500,90
1,39000,22500,90
1,1000,17500,270
1,15000,14000,270
1,23000,17500,90
1,31500,20000,0
1,0,20500,0
1,19000,3500,270
1,12000,11000,90
1,33000,27500,270
1,18500,21000,0
1,23000,17500,270
1,26000,21000,270
1,14000,21000,0
1,15500,3500,90
1,36000,25000,90
1,24000,7000,270
1,17000,17500,270
1,24000,14000,270
1,12000,10500,270
1,12500,7000,270
1,10500,23000,180
2,22000,26000,270
1,30500,24500,270
1,10500,21500,0
1,6500,17500,90
1,10500,21000,180
1,20000,21000,270
1,20000,17500,90
1,26000,10500,270
1,22000,3500,270
1,21000,14000,270
1,5000,10500,90
1,26000,14000,270
1,33000,30500,180
1,13000,0,90
1,12000,7500,90
1,36000,26000,270
1,23500,3500,90
1,5000,3500,90
1,28400,22000,90
1,3500,20500,180
1,26000,18500,90
1,25400,25500,270
1,33000,27500,180
1,20500,7000,270
1,10500,18500,0
1,4000,14000,90
1,7000,0,90
1,0,7000,270
1,16000,3500,270
1,13000,3500,270
1,16000,0,90
1,29500,27500,0
1,27000,3500,90
1,2000,7000,90
1,20000,14000,90
1,25000,3500,270
1,2000,14000,270
1,12500,3500,90
1,26000,17500,270
1,29400,21000,270
