Id,X,Y,Rotation
1,24000,10500,180
2,9000,21500,0
1,21500,18000,270
1,32000,21500,90
1,33000,18000,180
1,17000,11000,90
1,20000,21500,90
1,4000,21500,270
1,29500,15000,0
1,18000,15000,0
1,17000,7500,0
1,20000,25000,270
1,18000,28500,90
1,17000,7500,270
1,6000,36000,270
1,18000,29500,0
1,12000,14500,90
1,20500,10500,180
1,5000,21500,90
1,11000,7500,270
1,12000,32000,270
1,26000,18000,90
1,3000,28500,270
1,27500,18000,270
1,2000,18000,90
1,3000,21500,90
1,5000,28500,90
1,14000,25000,270
1,4500,14500,270
1,1500,14500,270
1,17000,7500,90
1,9000,7500,270
1,22000,35500,270
1,23000,21500,270
1,9000,5500,90
1,12500,35500,270
1,0,7500,270
1,14000,7500,90
1,26000,21500,270
1,9500,35500,270
1,6500,7500,90
1,3000,25000,90
1,22500,11500,0
1,11000,14500,270
1,9500,32500,90
1,14000,14500,270
1,0,28500,270
1,17000,21500,90
1,14000,7500,270
1,14000,11000,270
1,17000,25000,270
1,15000,18000,270
1,22000,32500,180
1,2000,21500,270
1,0,18000,270
1,23000,4000,90
1,35000,19000,90
1,14000,4000,90
1,32000,25000,270
1,23000,7500,270
1,0,25000,270
1,24500,14500,90
1,38000,18500,90
1,16000,21500,270
1,23000,25000,270
1,10000,21500,270
1,20500,7500,0
1,8000,32000,270
1,14000,11000,90
1,26000,21500,90
1,0,35500,270
1,12500,32000,90
1,5000,25000,270
1,3000,7500,270
1,26000,25000,0
1,24500,18000,270
1,23000,21500,90
1,15000,14500,90
1,13000,18000,90
1,2000,28500,90
1,6000,14500,90
1,23000,18000,90
1,12000,18000,270
1,6000,4000,90
1,6000,7500,270
1,26000,8000,90
1,9000,14500,90
1,30000,21500,270
1,3000,4000,90
1,26000,12000,0
1,20000,4000,90
1,10000,32000,270
1,16000,32000,90
1,16000,36000,270
1,19000,32500,90
1,10000,18000,90
1,8500,25000,90
1,3000,7500,90
1,3000,32000,90
1,27000,25000,270
1,16000,25000,90
1,8000,29000,90
1,19000,18000,90
1,16000,18000,90
1,7000,18000,90
1,25500,28500,90
1,3500,11000,270
1,24000,25000,90
1,25000,32500,90
1,27500,14500,90
1,21000,18000,90
1,15000,32000,270
1,22500,32000,270
1,17000,4000,90
1,22000,32500,90
1,26000,25000,90
1,16000,28500,270
1,7000,21500,270
1,3000,14500,90
1,11000,11000,270
1,0,11000,270
1,13000,21500,270
1,20500,18000,180
1,19000,36000,270
1,30000,18000,90
1,26000,4000,90
1,20000,7500,270
1,15000,28500,90
1,4500,11000,90
1,9000,18000,270
1,3000,18000,270
1,8000,21500,90
1,30000,21500,90
1,2000,32000,270
1,5000,32500,270
1,5500,28500,270
1,6000,18000,270
1,26000,14500,180
1,35000,22000,270
1,33000,18000,90
1,6000,32500,90
1,3000,36000,270
