Id,X,Y,Rotation
1,23000,10500,270
1,23000,10500,90
1,15000,7000,90
1,10500,21000,180
1,29500,27500,180
1,8000,12500,0
1,32000,24500,90
1,0,21000,270
1,21000,24500,270
1,23000,14000,270
1,21000,3500,270
1,9000,24500,270
1,0,3500,270
1,19000,3500,270
1,25000,3500,90
1,11500,10500,0
1,24000,24500,270
1,12000,21000,90
1,16000,17500,90
1,3000,0,90
1,8000,14500,90
1,3000,21000,90
1,30000,24500,270
1,3000,18000,0
1,22000,3500,90
1,16000,21000,270
1,32000,30500,0
1,21500,17500,90
1,14000,21000,180
1,12000,7000,90
2,15000,3500,0
1,3000,14000,90
1,0,14000,270
1,13000,24500,270
1,38500,27000,90
1,26000,7000,90
1,30000,21000,90
1,26500,24500,0
2,5500,5500,90
1,24000,21000,90
1,21500,21000,270
1,19500,17500,90
1,6500,3500,0
1,22000,17500,270
1,6500,21000,180
1,9000,3500,270
1,15000,3500,90
1,6000,0,90
1,10000,7000,270
1,25500,18000,0
1,35000,24500,90
1,6000,24500,270
1,9000,0,90
1,12000,3500,270
1,5000,18000,270
1,19000,0,90
1,0,7000,270
1,3000,3500,90
1,6000,13500,270
1,11500,12500,180
1,0,24500,270
1,24000,0,90
1,20000,14000,90
1,0,17500,270
1,9000,21000,90
1,5000,14000,90
1,26000,10500,90
1,23000,7000,90
1,6000,3500,270
1,16000,3500,270
1,35500,30500,270
1,22000,7000,270
1,0,10500,270
1,18000,24500,270
2,29000,28000,0
1,3000,24500,270
1,6000,10500,90
1,16000,21000,90
1,26000,14000,90
1,12000,10500,270
1,27000,21000,90
1,21000,21000,90
1,17000,14000,90
1,22000,14000,90
1,3000,17500,90
1,15000,0,90
1,3000,3500,0
1,24000,3500,270
1,27000,24500,270
1,12000,0,90
1,6000,21000,90
1,13000,3500,90
1,20000,14000,270
1,3000,10500,90
1,13500,15500,180
1,3000,7000,90
1,17000,17500,270
1,14000,17500,270
1,28000,21000,180
1,20000,10500,270
1,32000,28000,270
1,16500,11000,0
1,20000,14000,180
1,3000,3500,270
1,35500,33500,180
1,15000,13500,180
1,3000,14000,270
1,24500,17500,90
1,16000,24500,270
