Id,X,Y,Rotation
3,17500,16500,0
2,11500,9500,0
1,31868,26697,225
2,17000,9500,0
3,19500,0,0
2,10000,9000,270
2,0,13200,270
1,33197,25197,45
2,13700,17900,270
3,13000,0,0
1,37172,32000,225
1,26061,18061,45
3,0,17200,0
3,10600,13000,180
3,4100,9000,0
3,25800,10000,90
3,17500,12900,90
2,3600,8200,90
3,7000,16500,0
99,22000,16500,270
2,11500,4000,180
2,0,4600,0
1,25000,19600,180
3,0,0,0
2,5000,8200,180
3,7000,17200,180
2,13600,4000,90
1,22000,12400,180
2,19500,9500,270
99,26000,3800,180
3,6500,200,0
3,500,13200,0
3,6500,4000,180
2,25600,4500,90
1,14500,19600,180
