Id,X,Y,Rotation
1,0,2500,270
1,9000,2500,270
1,27000,2500,270
1,32400,5000,270
1,24800,12500,270
1,9000,15000,270
1,24600,22500,270
1,24600,25000,270
1,4000,27500,270
1,23100,27500,270
1,12300,30000,270
1,10500,32500,270
1,15600,35000,270
1,12000,37500,270
1,13800,40000,270
1,19100,40000,270
1,7000,5000,90
1,28000,2500,90
1,26600,7500,90
1,21300,12500,90
1,5400,20000,90
1,27700,10000,90
1,14100,27500,270
1,28100,3200,0
1,6800,27500,90
1,16200,0,90
1,30000,17500,90
1,10500,32500,180
1,20500,25000,90
1,27400,20000,90
1,6800,30000,90
1,16600,37500,90
1,5800,25000,270
1,32600,15000,90
1,12600,17500,270
1,33100,26500,90
1,21600,15000,270
1,13200,25000,270
1,20500,27500,90
1,23000,10000,270
1,30000,22500,90
1,13300,25000,90
3,20500,12500,270
1,22800,22500,270
1,20200,37500,270
1,16900,7500,90
1,22800,40000,270
1,7000,25000,90
1,25200,17500,270
1,1800,10000,90
1,7200,17500,270
1,18700,27500,90
1,4600,5000,90
1,15900,28500,270
1,29800,15000,90
1,13000,22500,90
1,37000,0,90
1,1800,12500,270
1,0,5000,270
1,32400,2500,270
1,11200,22500,90
1,28500,30000,0
1,36400,18500,270
1,20500,30000,270
1,16200,5000,180
1,23000,7500,270
1,17700,23500,90
1,35700,27500,270
1,18800,2500,270
1,40000,0,90
1,16200,2500,270
1,23800,22500,90
1,13300,7500,90
1,15100,7500,90
1,22600,15000,90
1,33100,25000,0
1,31000,20000,90
1,10500,7500,270
1,26700,25000,270
1,35600,27800,180
1,33800,12500,90
1,5400,17500,270
1,36400,16000,90
1,10500,27500,270
1,35200,2500,90
1,1800,7500,270
1,21000,25000,270
1,16600,37500,0
1,21300,27500,270
1,30100,20000,270
1,6400,0,90
1,9000,22500,270
1,30600,2500,270
1,34600,25000,270
1,26200,12500,90
2,30200,7500,90
1,10500,10000,270
1,26600,27500,270
1,24800,7500,270
1,33600,17500,90
1,12300,7500,270
1,16600,35000,90
1,28000,12500,90
1,16900,10000,90
1,1800,20000,270
1,21000,22500,270
1,800,10000,270
1,11800,22500,270
1,17400,37500,270
1,22000,32500,90
1,32800,22500,90
1,12000,40000,270
1,13600,2500,90
1,13600,12500,90
1,4600,17500,90
1,17700,26000,270
1,30000,25000,270
1,38500,25000,90
1,13400,2500,270
1,26200,17500,90
1,15000,17500,90
1,9000,17500,270
1,30200,10000,270
1,29400,7500,270
1,7200,20000,270
1,25900,25000,90
2,31000,31800,90
1,14100,10000,90
1,4600,12500,90
1,35000,5000,90
1,12300,27500,90
1,18000,19000,270
1,35400,21000,270
1,1800,15000,90
1,7000,10000,90
1,8200,2500,90
1,0,20000,270
1,4600,12500,0
1,6400,2500,90
1,9000,5000,270
1,27200,20000,270
1,13800,37500,270
1,7200,19300,90
2,23100,27500,0
1,38500,22500,90
1,18400,35000,270
2,30600,0,90
1,12300,32500,270
1,30800,27500,90
1,11800,0,90
1,12300,35000,270
1,30300,27500,270
1,2600,17500,270
1,22000,37500,90
1,17000,5000,270
1,18200,12500,90
1,22000,32500,0
1,33000,7500,90
1,1800,20000,90
1,20200,35000,90
1,15400,12500,90
1,14100,12500,270
1,11800,20000,90
1,15400,15000,270
1,33600,18500,270
1,12600,15000,90
1,23900,10000,90
1,29200,40000,270
1,11800,2500,90
1,18000,5000,90
1,15100,32500,90
1,12300,10000,90
1,29200,37500,90
1,38500,20000,90
1,26200,2500,90
1,1800,15000,270
1,26200,30000,270
1,37200,2500,270
1,33600,20000,90
1,29400,25000,90
1,4600,2500,90
1,16900,28500,90
1,38800,2500,90
1,32800,25000,270
1,20500,10000,90
1,27700,22500,270
1,17700,11000,270
1,2800,0,90
1,32400,2500,90
1,4600,17500,0
1,32200,5000,90
1,21600,2500,270
1,20800,16500,90
1,16200,18700,270
1,4000,30000,270
1,18400,32500,90
1,33600,22500,270
1,19800,5000,270
1,4000,32500,270
3,36000,9000,270
1,22600,2500,90
1,2600,22500,270
2,22000,37500,270
1,34200,2500,270
1,20500,30000,90
1,4600,0,90
1,29400,5000,90
1,29000,27500,90
1,10800,15000,270
1,15200,7500,270
1,15100,5000,90
1,24600,40000,270
1,3600,7500,90
1,9000,20000,90
1,26600,7500,270
1,7200,15000,270
1,7600,25000,270
1,1800,5000,90
1,15100,27500,90
1,15100,30000,90
1,27000,0,90
1,24400,12500,90
1,9000,0,90
1,24400,2500,90
1,21500,20000,270
1,24400,15000,90
1,32000,12500,270
1,3600,10000,270
1,18500,15000,270
1,4200,12500,270
1,17700,32500,270
3,39600,5000,90
1,14600,20000,90
1,1800,12500,90
1,26700,10000,270
1,23400,20000,270
1,6400,7500,90
1,21600,0,90
1,21000,32500,270
1,27400,37500,90
1,5400,15000,90
1,29800,17500,270
1,1800,5000,270
2,10000,17500,0
2,26100,30900,180
1,27000,17500,270
1,19800,2500,90
1,36000,5000,270
1,14400,17500,270
1,5800,22500,90
1,23400,2500,270
1,32200,7500,270
1,28500,37500,270
1,10000,17500,90
