Id,X,Y,Rotation
1,5000,0,0
1,18000,8500,0
1,25000,3800,0
1,15500,15000,0
1,5200,12800,0
1,4000,19700,180
1,37500,2200,0
1,25500,18000,0
1,13000,27000,90
1,1500,16900,0
1,13000,33200,0
1,13000,11400,0
1,37500,4000,0
1,31500,13900,0
1,37500,9000,180
1,28500,21800,0
1,33000,18000,0
1,13000,7800,180
1,30500,18000,180
1,33000,20800,0
1,27500,200,0
1,25000,2000,0
1,18000,7800,180
1,6500,21500,180
1,13000,27000,180
1,28000,16200,180
1,24500,36000,170
1,6500,28300,80
1,25500,36300,90
1,31000,34600,180
1,13000,12400,180
1,20500,37000,180
1,30000,5800,180
1,38500,16000,90
1,20500,39800,180
1,10500,7800,0
1,25000,3800,90
1,15500,14200,180
1,18000,37000,0
1,26000,28100,90
1,18000,12400,90
1,31000,29100,180
1,28000,21600,180
1,23500,20800,180
1,38500,18500,90
1,9000,25800,270
1,2500,1800,0
1,12500,4600,0
1,20500,29800,180
1,2500,7200,0
1,20500,35200,270
1,15500,28800,0
1,34000,10300,180
1,13000,33200,180
1,23000,13400,270
1,33000,17200,180
1,13000,17000,90
1,5200,15600,0
1,15500,17000,0
1,23000,13400,0
1,5200,12000,270
1,2500,11800,180
1,0,1800,0
1,30000,1200,0
1,0,3600,0
1,15000,23500,0
1,30500,19000,0
1,2500,10800,0
1,28500,30900,180
1,5800,31000,0
1,2500,3600,0
1,36000,23800,180
1,15000,19000,90
1,37500,2200,180
1,12500,23500,0
1,26500,8100,90
1,33500,28000,180
1,40000,2200,180
1,35000,6000,0
1,28000,39900,270
1,30000,4000,0
1,25500,19000,90
1,15500,10600,180
1,32500,5800,90
1,12500,2800,0
1,34000,13900,180
1,33000,16200,0
1,29700,8300,270
1,0,9000,0
1,6500,25800,90
1,20000,23500,0
1,35500,20800,180
1,17500,23500,0
1,38500,21000,90
1,10000,2800,0
1,15000,23500,180
1,18000,14200,0
1,26000,23600,90
1,28500,28100,180
1,15500,9600,0
1,11500,22500,270
1,28500,23600,0
1,18000,16000,0
1,17500,4800,180
1,26500,6300,0
1,12500,5600,180
1,33500,24400,0
1,25500,16200,180
1,36000,29000,180
1,37500,6000,0
1,2500,16900,270
1,25000,3800,180
1,15500,18800,180
1,18000,31600,90
1,4000,33500,270
1,32500,3000,0
1,2500,6400,90
1,28000,15000,0
1,22500,26300,270
1,30800,37100,90
1,5000,1800,180
1,9000,21500,0
1,20500,12400,180
1,33000,19000,180
1,6500,23300,0
1,13000,7800,0
1,36000,27200,180
1,13000,31400,180
1,35000,7800,180
1,23000,16200,0
1,0,0,0
2,36000,26600,270
1,20000,4800,180
1,20500,16200,0
1,35500,21800,270
2,15500,37000,90
1,28500,26300,0
1,10500,9600,0
1,23500,28100,180
1,35500,19000,270
1,7700,15600,180
1,18000,29800,0
1,15000,4800,0
1,15500,16000,180
1,0,13600,0
1,9000,19700,180
1,6500,25800,180
1,10200,15600,270
1,16500,26300,180
1,17500,2000,180
1,13000,27000,0
1,15500,34200,0
1,12000,40000,270
1,27500,3000,0
1,28000,39900,180
1,5000,7200,180
1,15000,2000,0
1,10500,30500,90
1,35000,3000,0
1,33000,21800,90
1,7500,0,0
1,18000,31600,0
1,24500,19000,180
1,4000,23000,0
1,15500,31600,180
1,29700,8300,90
1,13000,13200,90
1,18000,34100,0
1,9000,22500,180
1,25000,2000,180
1,20000,25300,0
1,13000,16000,0
1,26000,23600,0
1,7700,12800,0
1,36000,26600,0
1,26000,28100,180
1,26500,10600,270
1,9000,19700,0
1,21000,19000,180
2,4000,23000,180
1,28500,30900,0
1,20500,13400,0
1,15500,7800,180
1,15500,37800,0
1,20000,3000,0
1,29000,37100,270
1,12500,22500,90
1,17500,200,0
1,2500,16900,180
2,20500,37000,0
2,32500,3000,270
1,9000,19700,270
1,28000,12600,180
1,23000,13400,180
1,20000,26300,180
1,22500,200,90
1,26000,28100,0
1,23000,10300,180
1,30000,3000,180
1,10200,15600,180
1,23500,21800,0
1,15500,29800,180
1,27500,2000,180
1,15500,36000,180
1,33500,26200,180
1,18000,9600,180
1,28000,19800,0
1,17500,2000,0
1,4000,19700,270
1,18000,31600,180
1,20500,28800,0
1,25500,36300,0
1,20500,10600,0
1,28000,14400,180
1,31500,8300,90
1,33000,21800,180
1,2500,6400,180
1,6500,19700,0
1,10000,4600,180
1,32500,4000,180
1,12500,0,0
1,23000,16200,180
1,23000,30600,270
1,5000,10800,180
1,23000,30600,80
1,1500,19700,0
1,15000,2800,180
1,18000,37800,180
1,28500,23600,180
1,30500,19800,180
1,7500,1800,0
1,25500,16200,0
1,7500,2800,180
1,5200,9500,270
1,5200,13800,180
1,12500,2800,180
1,18000,12400,0
1,23000,10600,270
1,21000,20800,0
1,26500,8100,180
1,18000,28800,180
1,18000,12400,180
1,2500,13600,180
1,10000,0,0
1,40000,9000,180
1,5000,5400,270
1,35000,6000,180
1,37500,6000,180
1,10200,12800,180
1,28500,29100,0
