Id,X,Y,Rotation
1,8800,0,0
1,19800,0,0
1,24200,0,0
1,35200,0,0
1,13200,1600,0
1,22000,1600,0
1,26400,1600,0
1,6600,3200,0
1,11000,4800,0
1,17600,4800,0
1,22000,4800,0
1,26400,4800,0
1,0,6400,0
1,2200,6400,0
1,11000,6400,0
1,13200,6400,0
1,15400,6400,0
1,4400,8000,0
1,19800,8000,0
1,24200,8000,0
1,28600,8000,0
1,0,9600,0
1,8800,9600,0
1,0,11200,0
1,11000,11200,0
1,6600,12800,0
1,11000,12800,0
1,8800,14400,0
1,2200,16000,0
1,4400,19200,0
1,4400,20800,0
1,4400,24000,0
1,8800,24000,0
1,0,25600,0
1,4400,25600,0
1,15400,25600,0
1,11000,27200,0
1,13200,27200,0
1,15400,27200,0
1,8800,28800,0
1,33000,28800,0
1,0,30400,0
1,8800,30400,0
1,11000,30400,0
1,13200,30400,0
1,30800,30400,0
1,33000,30400,0
1,35200,30400,0
1,2200,32000,0
1,11000,32000,0
1,15400,32000,0
1,33000,32000,0
1,4400,33600,0
1,15400,33600,0
1,19800,33600,0
1,17600,35200,0
1,19800,35200,0
1,11000,36800,0
1,15400,36800,0
1,24200,36800,0
1,28600,36800,0
1,35200,36800,0
1,11000,38400,0
1,8800,12800,0
1,30800,4800,180
1,13200,16900,180
1,22000,5700,180
1,33000,38400,0
1,8800,38400,0
1,19800,36800,0
1,15400,13700,180
1,30800,1600,180
1,24200,8000,180
1,8800,23300,180
1,2200,39300,180
1,11000,14400,0
1,2200,24000,0
1,28600,6400,0
1,37400,36800,0
1,28600,11200,180
1,22000,4100,180
1,4400,30400,0
1,6600,4800,0
1,33000,4800,0
1,6600,14400,180
1,2200,36100,180
1,33000,32900,180
1,2200,30400,180
1,6600,16000,0
1,22000,8000,0
1,19800,34500,180
1,8800,22400,0
1,8800,32000,0
1,6600,11200,180
1,19800,32000,0
1,13200,34500,180
1,15400,18500,90
1,33000,8900,0
1,22000,29700,180
1,35200,36100,180
1,28600,2300,0
1,39600,39300,180
1,28600,1600,180
1,33000,1600,0
1,24200,6400,0
1,17600,32000,0
1,0,20800,0
1,15400,11200,0
1,30800,30400,270
1,19800,9600,0
1,30800,5700,0
1,33000,5700,180
1,0,14400,0
1,11000,24000,0
1,4400,10500,180
1,6600,16900,180
1,22000,32000,180
1,19800,2500,180
1,39600,5700,180
1,2200,19200,0
1,24200,3200,0
1,11000,0,0
1,8800,34500,180
1,26400,38400,0
1,24200,31300,180
1,15400,18500,180
1,19800,38400,0
1,24200,30400,0
1,26400,8700,0
1,35200,11400,180
1,37400,0,0
