Id,X,Y,Rotation
1,0,2200,270
1,1600,2200,270
1,13100,2200,270
1,23100,2200,270
1,26300,2200,270
1,27900,400,0
1,30100,0,0
1,32300,2200,270
1,33900,2200,270
1,35500,2200,270
1,37100,2200,270
1,0,4400,270
1,3200,2400,0
1,5900,2200,0
1,11500,4400,270
1,35600,4400,270
1,13100,6600,270
1,14700,8000,270
1,34700,6600,270
1,37900,6600,270
1,0,8800,270
1,6500,8200,270
1,24700,8800,270
1,31500,8800,270
1,33100,8800,270
1,34700,8800,270
1,36300,8800,270
1,0,11000,270
1,7400,11000,270
1,11500,11000,270
1,26500,11000,270
1,34700,11000,270
1,6500,13200,270
1,16500,13200,270
1,26500,13200,270
1,31500,13200,270
1,36500,13200,270
1,0,15400,270
1,6500,15400,270
1,36500,15400,270
1,1600,17600,270
1,11500,19800,270
1,16500,19100,270
1,21500,17600,270
1,37500,17600,270
1,0,19800,270
1,21500,19800,270
1,21500,22000,270
1,26500,22000,270
1,31500,22000,270
1,8100,24200,270
1,9700,24200,270
1,31500,24200,270
1,38100,24200,270
1,11300,26400,270
1,28100,26400,270
1,31300,26400,270
1,38100,26400,270
1,1600,28600,270
1,9600,28600,270
1,18100,28600,270
1,21300,28600,270
1,26500,28600,270
1,28100,28600,270
1,29700,28600,270
1,31500,28600,270
1,36500,28600,270
1,38100,28600,270
1,21200,30800,270
1,38100,30800,270
1,21300,33000,270
1,26500,33000,270
1,28100,33000,270
1,29700,33000,270
1,31300,33000,270
1,0,34700,270
1,3200,34700,270
1,4800,34700,270
1,9600,35200,270
1,29700,35200,270
1,4800,37400,270
1,6400,37400,270
1,9600,37800,270
1,19200,37400,270
1,22400,37400,270
1,28100,37400,270
1,34500,37400,270
1,38400,37400,270
1,0,40000,270
1,4800,39600,270
1,9500,40000,270
1,11200,39600,270
1,14500,39600,270
1,28100,39700,270
1,24000,8800,90
1,40000,0,90
1,20250,21300,90
1,34000,17600,90
1,26500,19800,270
1,34000,19800,90
1,10600,19800,180
1,23100,8800,270
1,37400,35200,90
1,20600,28600,90
1,29000,8800,90
1,13700,33000,90
1,30600,28600,90
1,18900,4400,90
1,7300,37400,90
1,28800,2200,90
1,33800,30800,90
1,14000,26400,90
1,31500,4400,270
1,29000,15400,90
1,14000,13200,90
1,9000,6600,90
1,24000,2200,90
1,14000,11000,90
1,9600,26400,90
1,13800,19800,90
1,13550,15400,90
1,8900,0,90
1,34000,26400,90
1,1600,15400,270
1,32900,37400,90
1,34000,11000,90
1,12400,33000,270
1,30600,35200,0
1,28900,6600,90
1,0,17600,270
1,28100,37800,90
1,12100,35200,90
1,39000,33000,90
1,29000,4400,90
1,19000,15400,90
1,23800,26000,90
1,9000,3100,90
1,19000,30800,90
1,19000,17600,90
1,29000,13200,90
1,19000,13200,90
1,13100,4400,270
1,18100,30800,270
1,9000,13200,90
1,24000,33000,90
1,29000,33000,90
1,3200,2200,270
1,26500,39600,180
1,6500,19800,270
1,1600,35200,90
1,29000,17600,90
1,17750,23500,270
1,12100,33000,90
1,21500,4400,270
1,19000,11000,90
1,34000,13200,90
1,28100,24200,90
1,14000,6600,90
1,14000,8800,90
1,26500,35200,270
1,31500,19800,270
1,26500,17600,270
1,39000,11000,90
1,8100,22000,90
1,37200,8800,90
1,7300,37400,0
1,31500,17600,270
1,24000,11000,90
1,1600,24200,270
1,6500,17600,270
1,32200,33000,90
1,6500,6000,270
1,1600,24200,90
1,9500,35200,180
1,16500,16900,270
1,29700,39600,270
1,37200,11000,270
1,24700,2200,270
1,9500,39900,180
1,37000,37800,90
1,21200,35200,180
1,11500,2200,270
1,1600,22000,90
1,26400,8800,270
1,16500,35200,270
1,11200,28600,270
1,17600,35200,90
1,18100,26000,90
1,34500,37400,90
1,13800,22000,90
1,1600,19800,90
1,33100,4400,90
1,19000,6600,90
1,8100,19800,90
1,4800,35200,90
1,31800,28600,0
1,5700,27800,180
1,35600,2200,90
1,23100,6600,90
1,34700,4400,90
1,28100,35200,90
1,12400,30800,270
1,21300,35200,270
1,24000,21300,90
1,1600,11000,90
1,19100,30800,0
1,14900,37400,270
1,24000,13200,90
1,1600,26400,90
1,19100,32700,0
1,28100,30800,270
1,16500,11000,270
1,13100,4400,90
1,11500,13200,270
1,12200,22000,90
1,24000,15400,90
1,29900,24200,270
1,30600,35200,90
1,36500,22000,270
1,2050,6600,270
1,13800,24200,90
1,37900,4400,90
1,3200,11000,90
1,28100,28600,90
1,20800,37400,90
1,23800,28600,90
1,21500,15400,270
1,23100,4400,90
1,28300,24200,270
1,19700,28200,270
1,17200,2200,90
1,36500,33000,270
1,22400,40000,270
1,8900,35200,90
1,16500,8800,270
1,17600,37400,90
1,24900,6600,270
1,38350,4400,270
1,38100,2200,90
1,34000,15400,90
1,17200,4400,90
1,17600,37400,270
1,18800,2200,90
1,3200,30000,270
1,21500,2200,270
1,1600,24800,0
1,38100,22000,90
1,9000,11000,90
1,38400,15400,270
1,8100,26400,270
1,3200,2200,90
1,28100,22000,90
1,34000,33000,90
1,1600,11000,270
1,9000,15400,90
1,31300,22000,180
1,24700,4400,90
1,36500,19800,270
