Id,X,Y,Rotation
1,21800,9500,0
1,26200,18400,0
1,10500,12300,180
1,18700,1600,0
1,21800,0,0
3,4500,8900,180
2,21800,19500,270
1,20900,1600,0
1,12100,2500,180
1,21000,12000,0
1,21300,7900,0
1,40000,29000,180
1,22400,5700,270
3,12900,8500,180
3,2500,8900,0
2,4200,19500,270
2,8600,16000,0
1,14300,900,0
1,7700,2500,180
1,34400,26500,180
1,12700,11900,180
1,37800,29000,180
1,23200,14500,180
1,0,3200,0
1,14300,3500,180
1,3300,450,0
3,200,5700,0
1,32200,23000,0
1,21800,16650,90
1,14700,16600,180
2,10000,9100,0
1,19600,1600,180
2,14700,16700,90
1,19100,18200,270
2,4200,16700,90
1,12100,1000,0
2,3300,3200,180
1,4500,5700,180
1,9900,2500,0
2,2900,11200,90
1,15000,11900,90
1,17000,15700,180
1,36000,29000,0
1,20200,3200,0
1,9900,0,0
1,20200,6600,180
1,23700,16650,180
1,30000,22700,270
1,20200,7900,270
1,16800,8500,90
5,500,19500,270
1,2300,3200,0
1,26200,21500,180
1,33000,26500,0
1,9900,4000,180
1,30000,23300,0
1,21500,9800,90
2,11800,19400,270
1,24000,19000,0
1,27000,18400,180
1,24000,5700,90
2,11400,19500,180
1,2200,5700,180
1,8300,10100,180
3,2900,12000,0
1,7900,10100,90
3,34400,26500,270
1,16500,1600,0
3,9500,5300,0
1,24800,15500,0
1,38200,31500,180
1,8300,10700,270
1,3900,16400,270
1,28400,20450,270
1,0,11100,270
1,5500,0,0
1,12100,5000,180
1,20200,4100,180
1,24600,16650,90
1,12600,14100,0
1,22400,5700,180
1,35600,29000,180
1,3900,14200,90
1,16900,16000,0
1,8600,17300,90
1,28400,20900,180
1,12800,8500,0
1,2500,8900,90
1,7700,1500,0
2,0,14000,270
1,16500,3500,180
1,15900,11900,180
1,38200,31200,270
1,30000,24900,0
1,12500,14100,270
1,14700,17300,0
1,19000,11900,180
2,29900,21200,90
1,37800,26500,0
1,18000,4100,0
1,19000,11700,270
1,23700,12000,180
1,19100,18500,180
1,35600,26500,0
1,5500,2950,180
1,14700,15700,0
1,20200,9100,180
1,19600,0,0
2,0,300,0
1,7000,16700,90
2,5900,12000,180
2,27000,23700,270
1,16800,9400,0
1,15000,14100,270
1,18000,6600,0
1,6400,14200,90
1,32500,20500,90
