Id,X,Y,Rotation
1,9000,3000,270
1,21600,3000,270
1,28800,3000,270
1,4600,6000,270
1,22500,9000,270
1,0,12000,270
1,10800,15000,270
1,21600,15000,270
1,23400,15000,270
1,30600,14500,270
1,30300,18000,270
1,4800,21000,270
1,32100,21000,270
1,0,24000,270
1,1800,24000,270
1,9000,24000,270
1,32400,24000,270
1,34600,27000,270
1,36400,27000,270
1,13000,30000,270
1,12600,33000,270
1,1800,36000,270
1,3600,36000,270
1,8900,36000,270
1,12600,36000,270
1,34200,36000,270
1,5400,39000,270
1,4600,15000,90
1,39200,24000,90
1,17200,33000,90
1,37600,12000,270
1,21600,3000,90
1,40000,3000,90
1,2800,9000,90
1,35200,21000,90
1,17200,0,90
1,28500,15000,270
1,25200,15000,270
2,28800,21000,90
1,10800,40000,270
1,27100,6000,90
1,38000,18000,270
1,1800,3000,90
1,11600,18000,90
1,14400,3000,270
1,26700,18000,90
1,19800,33000,270
1,34200,3000,90
1,0,9000,270
1,24400,3000,90
1,28000,32000,90
1,31000,30000,270
1,36700,21000,270
1,31800,27000,270
1,3600,18000,90
1,21600,40000,270
1,11800,0,90
1,4600,12000,90
1,23400,33000,90
1,19000,24000,270
1,21600,6000,270
1,17200,13000,90
1,38200,36000,270
1,36000,6000,270
1,29000,6000,90
1,21600,32000,270
1,6400,3000,270
1,34200,6000,270
1,18400,27000,270
1,20800,36000,90
1,2800,9000,270
1,37000,12000,90
1,30300,18000,90
1,21200,24000,90
1,4600,3000,270
2,18000,36000,90
1,10800,12000,90
1,35200,15000,90
1,31400,6000,270
1,8000,15000,270
1,36400,30000,270
1,4600,9000,270
1,24300,9000,270
1,8000,12000,90
1,32100,21000,90
1,14800,12000,270
1,26200,30000,90
1,31400,6000,180
2,14400,40000,270
1,27700,15000,90
1,7200,40000,270
1,33400,15000,90
1,26200,3000,90
1,6400,33000,90
1,28400,3200,0
1,35600,27000,90
1,23400,3000,270
1,28900,9000,90
1,2800,6000,90
1,18000,37000,270
1,34200,15000,270
1,21800,21000,90
1,37800,30000,90
1,4800,24000,270
1,19500,21000,270
1,11600,21000,270
1,32100,18000,90
1,1800,27000,270
1,23400,40000,270
1,34900,21000,270
1,5200,15000,270
1,29800,39000,270
1,34900,18000,90
1,1800,30000,90
1,0,30000,270
1,19500,18000,270
1,28500,18000,90
1,2800,27000,90
1,31900,0,90
1,35200,21200,0
2,9900,33000,270
1,23400,37000,270
2,8000,18000,90
1,36000,36000,270
1,14800,9000,90
1,6000,27000,90
1,13600,12000,90
1,13600,24000,0
1,14400,6000,270
1,38200,33000,270
1,21600,0,90
1,10800,37000,90
1,3200,30000,270
1,4600,0,90
1,1800,0,90
1,25200,37000,270
1,17200,6000,270
1,9800,15000,90
1,27000,39000,270
1,800,21000,270
1,37000,15000,270
1,37600,9000,90
1,14400,3000,90
1,29800,32000,90
1,14900,15000,90
1,38200,24000,180
1,38200,30000,270
1,8000,21000,270
1,21300,21000,270
1,37800,3000,270
1,17200,3000,90
1,16600,26800,180
1,15800,6000,90
1,5600,9000,90
1,2800,12000,270
1,27100,9000,90
1,6400,30000,90
1,28400,3000,90
1,32600,36000,90
1,35400,9000,270
1,0,39000,270
2,25400,25000,270
1,35000,0,90
2,8900,33000,90
2,36000,36000,90
1,29800,36000,90
1,1800,15000,90
1,34600,24000,90
1,0,27000,270
1,12600,39000,270
1,17600,30000,270
1,4900,18000,270
1,5800,24000,90
1,1800,6000,270
1,2800,36000,90
1,8000,22000,90
1,28000,12000,90
1,3600,33000,270
1,25200,24000,180
1,32400,15000,270
1,37800,0,90
1,38200,6000,90
1,13000,9000,270
1,15400,24000,270
1,18000,10000,90
1,9200,29000,90
1,9800,18000,270
1,21800,21000,0
1,15800,27000,90
1,24100,15000,90
1,7000,18000,270
1,24300,12000,270
1,4600,21000,90
2,10800,7000,270
2,5400,36000,90
1,40000,6000,90
1,28000,0,90
1,39800,12000,90
1,1800,33000,270
1,20400,27000,90
1,15400,33000,270
2,7400,7000,270
1,24400,29000,90
1,7400,6000,90
1,33800,30000,90
1,35200,18000,270
1,1800,18000,270
1,34000,12000,270
1,28500,18000,270
1,6400,32000,270
2,36000,36000,0
1,36000,38200,0
1,32000,30000,90
1,16600,27000,270
1,24900,18000,270
2,18000,6000,90
1,21600,12000,90
1,21600,33000,90
1,26200,37000,90
1,13900,15000,270
1,17200,3000,270
1,33400,33000,90
1,1800,12000,90
1,7400,3000,90
1,18000,40000,270
1,17600,27000,90
1,22500,12000,270
1,38000,15000,90
2,10800,3000,90
2,32600,40000,270
1,35000,3000,270
1,18200,30000,90
1,27000,32000,270
1,19800,12000,90
1,12600,24000,270
1,0,36000,270
1,32800,30000,270
1,18200,21000,90
1,6200,12000,270
1,29800,29000,90
1,1800,3000,270
1,12600,15000,90
1,4600,3000,90
1,15400,33000,90
1,38200,24000,270
1,39500,18000,90
1,30600,36000,270
1,15400,21000,90
1,13600,0,90
2,12600,33000,90
1,23100,21000,270
1,15400,30000,90
1,25200,3000,270
1,1800,15000,270
1,21300,18000,270
1,29300,24000,270
2,12600,21000,90
1,35600,30000,90
1,14400,18000,90
1,32200,3000,270
