Id,X,Y,Rotation
2,34200,18800,180
1,12000,23100,270
2,24000,40000,180
1,29500,24800,90
2,20100,27200,90
2,24489,27200,90
2,24000,32200,90
2,21200,36900,0
1,10200,16000,0
2,1100,18800,270
2,34200,19000,270
1,24489,29871,270
1,5340,27626,90
2,8000,8000,270
1,10000,0,90
3,30000,18800,90
1,15000,27800,90
2,8000,13200,270
1,24000,30000,90
1,17200,29500,180
1,9000,18500,180
1,27000,27000,270
1,27000,21600,270
2,31400,16000,90
2,14800,26200,180
2,8000,5200,270
1,26989,27671,90
1,18000,16000,270
2,40000,16000,90
2,21100,35000,0
1,18000,16000,0
2,22506,19000,270
2,35500,27000,90
1,4000,18800,270
2,30000,2800,90
5,12800,29550,180
1,30400,30000,180
2,32600,29800,270
2,21100,35000,270
2,9000,32600,0
2,30000,7800,90
2,9200,37100,0
2,0,27100,0
1,2800,29500,270
2,20000,11000,90
1,9000,35500,0
1,15000,27800,180
2,2800,30000,180
2,12000,19000,0
2,35500,29800,270
1,15000,27000,0
3,29200,27000,0
2,8000,16000,270
1,22506,19000,180
1,28100,7800,270
1,8000,10400,270
2,38400,27000,90
1,14500,20900,90
2,11800,35500,180
1,20200,18500,180
1,27450,24800,270
1,29950,22600,90
1,5340,27500,0
2,12000,40000,180
1,21500,32200,270
1,32000,16000,0
2,37100,16200,90
1,27000,27000,0
1,6800,16000,0
2,28500,18800,270
1,11200,32500,180
1,38400,29800,270
1,32600,30000,180
1,9000,30000,0
2,19900,3000,90
1,18000,8000,270
2,30000,0,90
1,14900,19000,180
1,6500,16600,90
2,30000,12800,90
2,28500,18800,180
1,26000,16000,0
2,15100,18800,270
2,12000,23300,0
2,4000,16000,90
1,7540,30000,180
2,18000,3000,270
2,25406,16200,90
1,30000,10600,90
2,17200,30000,270
2,37100,18800,270
2,18000,16000,90
3,12700,19000,180
2,21589,30000,270
1,12700,16500,0
1,20200,16000,0
2,20000,8000,90
