Id,X,Y,Rotation
1,0,2200,270
1,12100,2200,270
1,24000,2200,270
1,33500,2200,270
1,38400,2200,270
1,0,4400,270
1,3200,4400,270
1,4800,4400,270
1,20600,5800,270
1,34800,4400,270
1,36400,4400,270
1,0,6600,270
1,4100,6600,270
1,8000,6600,270
1,11200,6600,270
1,19000,6600,270
1,31600,8000,270
1,36400,6600,270
1,38000,6600,270
1,0,8800,270
1,3200,8800,270
1,7300,8800,270
1,3200,11000,270
1,8400,11000,270
1,0,13200,270
1,4800,13800,270
1,8000,13200,270
1,1600,15400,270
1,6400,15400,270
1,8000,15400,270
1,0,17600,270
1,22100,16200,270
1,25300,17600,270
1,31500,16200,270
1,36300,16200,270
1,1600,19800,270
1,3200,19800,270
1,9600,19800,270
1,11200,18400,270
1,14400,19800,270
1,20500,19800,270
1,23700,19800,270
1,33100,19800,270
1,36300,19800,270
1,37900,19800,270
1,6400,22000,270
1,8900,22000,270
1,11200,20600,270
1,12800,22000,270
1,19200,22000,270
1,28800,22000,270
1,38400,22000,270
1,3200,24200,270
1,4800,24200,270
1,7500,24200,270
1,6400,26400,270
1,0,28600,270
1,3200,28600,270
1,4800,28600,270
1,6400,28600,270
1,0,30800,270
1,3200,30800,270
1,6400,30800,270
1,8900,30800,270
1,14400,30800,270
1,17600,30200,270
1,20800,30800,270
1,25600,30800,270
1,30400,30200,270
1,32900,30800,270
1,35900,30800,270
1,6400,33000,270
1,9600,33000,270
1,11200,33000,270
1,25700,33000,270
1,27300,33000,270
1,29800,33000,270
1,33400,33000,270
1,37500,33000,270
1,1600,35200,270
1,8000,35200,270
1,22500,35200,270
1,12800,37400,270
1,14400,37400,270
1,19200,37400,270
1,24000,37400,270
1,36800,37400,270
1,1600,40000,270
1,6400,39600,270
1,8000,39600,270
1,16000,40000,270
1,26500,39600,270
1,32000,39600,270
1,25000,2200,90
1,27500,5500,0
1,14000,2200,90
1,20450,16500,180
1,27500,5500,90
1,2500,19800,90
1,16500,5500,90
1,29700,8000,180
1,19000,5600,90
1,17000,33000,90
1,0,22000,270
1,3200,30800,90
1,1600,11000,270
1,1600,26400,270
1,12100,33000,90
1,32000,37400,90
1,8900,2200,90
1,9600,15400,90
1,39400,33000,90
1,15300,30800,90
1,15900,39900,180
1,15300,14000,0
1,22400,4400,270
1,20100,28600,90
1,25000,8000,270
1,30600,35200,90
1,40000,30800,90
1,33100,22000,270
1,11200,35200,90
1,40000,37400,90
1,1600,37800,270
1,12800,28600,90
1,12800,35200,90
1,6400,13200,270
1,16500,7700,270
1,12100,33600,0
1,5700,33000,90
1,26500,37400,90
1,23700,17600,270
1,8200,35200,90
1,6400,28600,90
1,20100,0,90
1,26600,33000,90
1,32900,19800,90
1,15300,19800,90
1,40000,28600,90
1,34100,5800,90
1,38400,21400,180
1,36300,17600,90
1,15300,22000,270
1,31400,33000,90
1,24700,5800,90
1,20100,37400,90
1,1600,24200,90
1,9600,17600,270
1,37500,39600,270
1,11500,4400,270
1,4800,2200,270
1,25000,30800,90
1,22500,33000,270
1,5700,37400,90
1,1600,28600,270
1,10000,22000,90
1,34700,14000,90
1,9600,30800,90
1,4800,8800,270
1,29900,16500,270
1,9600,35200,270
1,35200,37400,270
1,28800,19000,90
1,15300,15400,90
1,13800,37400,0
1,20600,2200,90
1,4800,17600,270
1,31300,0,90
1,6400,15400,180
1,28100,0,90
1,36200,19800,90
1,35300,33000,90
1,34100,3600,90
1,10500,0,90
1,36400,8000,180
1,18500,800,90
1,17500,14000,0
1,15400,33000,270
1,1600,33000,90
1,4800,11000,270
1,31300,5500,90
1,1600,24200,270
1,4100,24200,90
1,29500,14300,90
1,8000,15400,90
1,37500,37800,90
1,29800,30800,90
1,37900,17600,270
1,31600,3300,90
1,34500,37400,90
1,16900,0,90
1,17600,36200,270
1,13700,4400,90
1,35300,35200,270
1,31300,19000,90
1,3200,2200,90
1,24900,28300,90
1,29700,28600,90
1,27000,16200,270
1,10500,5800,90
1,9600,4400,270
1,25000,33000,90
1,27000,17600,90
1,1600,17600,270
1,34500,39600,270
1,1600,13200,90
1,8000,4400,90
1,16000,30800,270
1,21700,34000,90
1,36900,30800,90
1,8200,37400,270
1,25600,3000,270
1,20600,8000,270
1,31300,0,0
1,26500,19800,90
1,28800,3000,270
1,15300,0,90
1,13700,8000,270
1,24000,39600,270
1,32100,35200,270
1,0,37400,270
1,8000,2200,270
