Id,X,Y,Rotation
1,16000,2200,270
1,17600,2200,270
1,33000,2200,270
1,16000,4400,270
1,18500,4400,270
1,34600,4400,270
1,3500,5200,270
1,5100,6600,270
1,8300,6600,270
1,11500,6600,270
1,16300,6600,270
1,21100,6600,270
1,5100,8800,270
1,16300,8800,270
1,27500,8800,270
1,33900,8800,270
1,3500,11000,270
1,8300,11000,270
1,9900,13200,270
1,11500,11000,270
1,13100,11000,270
1,22700,11000,270
1,34600,11000,270
1,5100,13200,270
1,6700,13200,270
1,11500,13200,270
1,16300,13200,270
1,19500,13200,270
1,21100,13200,270
1,25900,13200,270
1,3500,15400,270
1,8300,15400,270
1,17900,15400,270
1,19500,15400,270
1,21100,15400,270
1,25900,15400,270
1,3500,17600,270
1,5100,17600,270
1,6700,17600,270
1,11500,17600,270
1,14700,17600,270
1,16300,15400,0
1,25100,17600,270
1,28300,17600,270
1,31500,17200,270
1,0,19800,270
1,4800,19800,270
1,24000,19800,270
1,25600,19800,270
1,32700,19800,270
1,38400,19800,270
1,7100,22000,270
1,11200,22000,270
1,27200,22000,270
1,32000,22000,270
1,33600,22000,270
1,13700,24200,270
1,27200,24200,270
1,30400,24200,270
1,35200,24200,270
1,0,26400,270
1,16200,26200,270
1,24200,26400,270
1,27200,26400,270
1,30600,26400,270
1,32200,26400,270
1,1600,28600,270
1,3900,28600,270
1,6500,28600,270
1,14600,28600,270
1,16200,28600,270
1,24200,28600,270
1,35400,28600,270
1,37000,28600,270
1,13000,30800,270
1,19400,30800,270
1,29000,30800,270
1,30600,30800,270
1,34700,30800,270
1,0,33000,270
1,1600,33000,270
1,6400,33000,270
1,14600,33000,270
1,24200,33000,270
1,26700,33000,270
1,32200,33000,270
1,33800,33000,270
1,5700,35200,270
1,8000,35200,270
1,16900,35200,270
1,24000,35200,270
1,33600,35200,270
1,35400,36500,270
1,38400,35200,270
1,3200,37400,270
1,7000,35400,0
1,9200,35200,0
1,11400,35200,0
1,13600,35200,0
1,18000,37400,270
1,19600,37400,270
1,17000,40000,270
1,8900,24200,90
1,40000,28600,90
1,28400,11000,90
1,13700,22000,90
1,36400,4400,90
1,40000,35200,90
1,11500,6600,90
1,26500,34300,90
1,16900,19800,90
1,27500,6600,270
1,33900,6600,270
1,34500,22000,90
1,1600,28600,90
1,40000,37400,90
1,22700,8800,90
1,9000,26400,90
1,9000,28600,90
1,19500,11000,270
1,34300,19800,270
1,13100,15400,270
1,5100,6600,90
1,14400,35200,270
1,38550,17600,180
1,26700,30800,90
1,25800,28600,90
1,7000,36800,180
2,40000,3000,180
1,24000,33000,90
1,4800,26400,270
1,21900,30800,90
2,37200,100,0
1,36200,13200,90
1,19500,8800,270
2,13000,33000,180
1,25200,13200,90
1,14000,11000,90
1,9600,22000,270
1,15800,35200,0
1,34600,11000,90
1,3200,19800,90
1,31500,26400,90
1,27500,6600,90
1,2500,35200,90
1,2500,35200,270
1,34600,13200,90
1,13000,28600,270
1,8000,19800,270
1,29000,33000,270
1,6700,15400,270
1,0,28600,270
1,9600,19800,90
1,10800,19800,270
1,10800,8800,90
1,9900,17600,270
1,5700,28600,90
1,34700,28600,90
1,26500,33000,0
1,16200,22000,90
1,33200,4400,90
1,27200,24200,90
1,14700,8800,270
1,36300,33000,270
1,25000,8800,270
1,33000,4400,270
1,9900,6600,270
1,24300,6600,270
1,30400,35200,270
1,17900,8800,270
1,36800,17600,90
1,14700,15400,270
1,21900,30800,270
1,16200,30800,270
1,0,5000,270
1,16300,11000,270
1,4800,24200,270
1,4100,35200,270
1,21200,37400,270
1,21100,8800,270
1,16900,17600,90
1,20400,4400,90
1,13700,19800,90
1,25800,30800,270
1,28100,17600,90
1,21000,28600,270
1,11500,8800,270
1,17800,33000,270
1,7600,8800,90
