Id,X,Y,Rotation
1,3600,3000,270
1,7200,3000,270
1,27000,3000,270
1,30600,3000,270
1,32400,3000,270
1,14400,6000,270
1,25200,6000,270
1,24400,9000,270
1,30600,9000,270
1,1800,12000,270
1,24400,12000,270
1,5400,15000,270
1,14400,12000,0
1,18300,18000,270
1,20200,18000,270
1,35300,18000,270
1,1800,21000,270
1,20200,21000,270
1,31900,21000,270
1,3600,24000,270
1,12700,24000,270
1,18000,24000,270
1,6000,27000,270
1,12600,27000,270
1,23200,27000,270
1,7800,30000,270
1,9600,33000,270
1,11400,33000,270
1,15000,33000,270
1,19600,36000,270
1,21600,40000,270
1,25200,40000,270
1,7200,9000,270
1,10000,34000,90
1,36600,24000,90
1,0,24200,0
1,15000,30000,270
1,34200,6000,270
1,6400,15000,90
1,2800,15000,90
1,33800,27000,270
1,36000,3000,0
1,2600,9000,270
1,34200,12000,270
1,5400,21000,270
1,35800,12000,90
1,1800,9000,90
1,25800,12000,90
1,13200,30000,270
1,31900,18000,90
1,25000,33000,270
1,1800,3000,90
1,18000,23900,90
1,34700,18000,90
1,30100,21000,90
1,5400,9000,270
1,0,34000,0
1,11800,3000,90
1,9600,30000,90
1,14600,33000,90
1,30100,18000,270
1,800,24000,270
1,26000,24000,90
1,4600,35800,90
1,17200,0,90
1,22600,6000,90
1,23000,15000,90
1,19800,6000,90
1,34200,6000,90
1,9000,3000,270
1,37000,3000,270
1,37000,37000,90
1,34500,24000,270
1,19600,33000,90
1,17600,30000,270
1,32900,21000,90
1,18000,9000,90
1,30600,6000,270
1,11800,12000,90
1,30200,30000,90
1,22600,9000,270
1,18400,21000,270
1,36600,33000,270
1,3600,12000,270
1,28800,39000,270
1,12800,33000,90
1,16200,9000,90
1,33000,27000,90
1,10000,37000,90
1,34200,37000,90
1,28200,34000,90
1,17800,30000,90
1,40000,0,90
1,23400,3000,270
1,7200,9000,90
1,1800,35800,90
1,3000,2800,180
1,23200,30000,90
1,34800,30000,270
1,35300,15000,90
1,8200,6000,270
1,21600,15000,180
1,5400,24000,270
1,29300,15000,90
1,17000,9000,270
1,5400,12000,90
1,1800,18000,90
2,25000,37000,270
1,23000,18000,90
1,10600,27000,90
1,19600,37000,90
1,34200,9000,270
1,12400,24000,90
1,27000,30000,270
1,30600,9000,90
1,26000,27000,270
1,7200,36000,270
1,9000,15000,90
1,6400,3000,90
1,28300,21000,270
1,12600,6000,270
1,30100,24000,270
1,34800,27000,90
1,21600,36000,270
2,30600,40000,270
1,33000,33000,270
1,8000,12000,270
1,17200,3000,270
1,25000,27000,90
1,17500,33000,90
1,36600,27000,270
1,7200,15000,270
1,13200,33000,270
1,4200,34000,0
1,5400,6000,90
1,28000,9000,270
1,20400,27000,90
1,19800,3000,270
1,18600,33000,270
1,28000,37000,90
1,25000,37000,90
1,19800,24000,270
1,30600,24000,90
1,0,18000,270
1,22600,21000,90
1,31200,15000,270
1,22600,9000,90
1,4600,18000,90
1,36500,18000,90
1,7800,27000,270
1,33400,3000,90
1,20400,33000,270
1,12600,9000,270
1,9000,9000,270
1,5400,3000,270
1,10000,37000,270
1,27000,0,90
1,33000,15000,270
1,10000,21000,90
1,10000,21000,270
1,35800,30000,90
1,2800,12000,90
1,28000,6000,90
1,39500,27000,90
1,33400,24000,90
1,19800,12000,270
1,19800,27000,270
1,24400,9000,90
1,10800,9000,270
1,20400,30000,270
1,14400,9000,270
1,13400,12000,270
1,14500,15000,90
1,27200,9000,90
1,3600,21000,90
1,37300,21000,90
1,1800,5800,270
1,28400,30000,90
1,39000,17000,90
1,8200,21000,270
1,37200,17000,270
1,37000,37200,0
1,2800,18000,270
1,18600,12000,0
1,18000,27000,270
1,29400,30000,270
1,28800,3000,270
1,10600,24000,90
1,26500,21000,270
1,35200,0,90
1,35200,3000,270
1,11800,37000,90
1,28200,36000,270
1,39100,20000,90
1,33000,36000,270
1,7200,40000,270
1,25000,30000,90
1,600,0,0
1,23400,12000,90
1,39400,33000,90
1,19800,9000,90
1,31000,33000,90
1,30600,3000,90
1,16800,39000,270
1,12700,21000,90
1,22600,0,90
1,36700,30000,270
1,0,15000,270
1,19800,40000,270
1,19000,3000,90
1,33000,30000,90
1,22600,24000,90
1,27000,27000,90
1,10800,12000,270
1,9000,15000,270
1,31100,12000,90
1,6400,6000,270
1,31400,12000,270
1,36600,36000,270
1,16600,38800,180
1,39400,24000,90
1,21800,3000,90
1,10800,9000,90
1,39400,30000,90
1,1800,6000,90
1,27300,12000,270
1,28300,15000,270
1,23200,27000,90
1,30600,27000,270
1,26500,18000,270
1,34200,40000,270
1,7800,27000,90
1,11800,0,90
1,16200,6000,270
1,10800,15000,90
1,40000,14000,90
1,28000,3000,90
1,28300,12000,90
1,7800,30000,90
1,14400,3000,270
1,24400,33000,90
1,12400,27000,90
1,19800,9000,270
1,21800,6000,270
1,7200,24000,270
1,11800,40000,270
1,27300,24000,270
1,14700,36000,270
1,8200,18000,90
1,40000,40000,180
1,13600,0,90
1,19000,6000,270
1,1800,40000,270
1,34200,9000,90
1,3600,6000,270
1,28800,24000,90
1,5400,40000,270
1,11800,15000,270
1,13600,36000,0
1,12800,18000,90
1,31200,36000,270
1,3000,24000,0
1,25200,3000,90
1,31900,18000,270
1,10800,18000,270
1,30200,33000,270
1,14400,27000,270
2,36600,33000,90
