Id,X,Y,Rotation
1,13200,9600,0
1,6600,3000,180
1,17600,0,0
1,30600,24500,0
1,22000,2500,180
1,22000,18400,0
1,8800,0,0
1,2200,9600,180
1,6000,12000,270
1,2200,11200,0
1,4400,17200,0
1,22700,6600,180
1,2200,14600,180
1,4400,20000,180
1,19800,18400,0
1,4400,16500,180
1,13500,8000,270
1,20600,11200,0
1,11000,20000,270
1,15400,8000,0
1,2500,3300,90
1,20500,7100,0
1,34500,29500,180
1,16000,1600,180
1,6600,17200,180
1,9500,8000,180
1,15400,12200,180
1,7000,1600,0
1,22800,10500,0
1,0,17400,0
1,6000,9800,90
1,2800,14000,0
1,23400,18100,180
1,4400,13700,180
1,17600,18500,180
1,21200,13700,180
1,32000,27000,180
1,24500,19400,0
1,16000,5700,180
1,2200,500,0
1,6600,18100,0
1,9200,4100,180
1,6600,8000,0
1,9200,4100,90
1,25900,19400,270
1,22700,5000,180
1,27800,22000,0
1,7600,12000,270
1,25000,13250,90
1,11000,8000,0
1,20500,15600,0
1,11500,2950,180
1,8800,18100,180
1,23400,17650,270
1,19800,20000,180
1,29200,24500,180
1,15400,17800,90
1,13200,10500,180
1,11000,9800,180
1,13800,1600,0
1,25000,5000,180
1,8800,18100,0
1,0,9600,0
1,19800,0,0
1,13800,3200,0
1,32800,24500,0
1,2200,12100,180
1,32000,27000,0
1,23400,15500,180
1,30000,22000,180
1,20500,16200,90
1,35800,29500,0
1,15400,16000,0
1,13800,3500,180
1,12200,15200,180
1,26700,19500,0
1,4400,3000,180
1,2200,9600,0
1,17600,10500,180
1,22000,0,0
1,21200,15600,180
1,6600,9100,180
1,4400,0,0
1,8800,15600,0
1,22800,8000,0
1,2200,17400,180
1,19800,3000,180
1,19800,12100,180
1,38000,27300,90
1,16000,5800,90
1,32500,22000,90
1,10000,12700,0
1,13200,10500,90
1,4400,9600,180
1,2200,17500,0
1,0,5500,270
1,11000,450,0
1,15400,17800,180
1,0,0,0
1,35500,29500,270
1,27800,22000,180
1,800,5500,0
1,6600,15500,0
1,25000,13000,180
1,15400,9600,180
1,10100,9800,90
1,22700,5000,0
1,19800,9600,0
1,24900,8000,180
1,24200,2500,180
1,16000,3000,270
1,0,12100,0
1,22650,9600,180
1,2200,19900,180
1,17600,8000,0
1,11000,18100,180
1,12900,20000,270
1,20500,2500,0
1,800,7100,0
1,21200,13000,0
1,2200,2550,180
1,38000,32000,180
1,11000,15300,0
1,17600,9600,0
1,22700,2500,0
1,24900,10500,180
1,0,14900,0
1,10700,12700,270
1,30000,24200,270
1,13200,17800,180
1,18000,18400,270
1,35000,27000,180
1,15400,10500,0
1,25900,17200,90
1,8800,1600,180
1,6600,19700,180
1,12200,15200,270
