case,qA,tA,baysA,covA,qB,tB,baysB,covB,qC,tC_lns,tC_total,baysC,qD,tD_lns,tD_total,baysD,filler_cost_s,filler_gain_Q,C_vs_A_dQ,C_vs_D_dQ,C_vs_A_dt,C_vs_D_dt
Case0,1951.2403,4.975,17,0.6880,3583.7323,0.235,13,0.5706,1775.2310,25.324,25.559,14,1826.6449,25.327,30.303,14,4.740,1632.4920,-176.0094,-51.4140,20.584,-4.743
Case1,1340.0331,2.723,24,0.7920,1340.0331,0.402,24,0.7920,1340.0331,25.356,25.757,24,1340.0331,25.517,28.240,24,2.322,0.0000,0.0000,0.0000,23.034,-2.483
Case10_donut,2534.4766,5.650,36,0.7261,2534.4766,0.582,36,0.7261,2534.4766,25.528,26.110,36,2534.4766,25.505,31.155,36,5.068,0.0000,0.0000,0.0000,20.460,-5.045
Case11,489.8032,4.833,60,0.8640,489.8032,0.893,60,0.8640,489.8032,25.702,26.595,60,489.8032,27.789,32.621,60,3.940,0.0000,0.0000,0.0000,21.762,-6.027
Case12,789.6418,7.403,88,0.8352,789.6418,1.303,88,0.8352,789.6418,26.179,27.482,88,789.6418,26.064,33.467,88,6.099,0.0000,0.0000,0.0000,20.079,-5.985
Case13,679.2600,7.402,76,0.8582,711.0713,0.972,74,0.8485,711.0713,25.473,26.445,74,679.2600,26.345,33.747,76,6.430,31.8113,31.8113,31.8113,19.043,-7.302
Case14,835.5979,7.401,84,0.8144,835.5979,1.322,84,0.8144,835.5979,25.299,26.621,84,835.5979,29.030,36.431,84,6.079,0.0000,0.0000,0.0000,19.220,-9.810
Case15_mega,8658.7756,7.511,640,0.4672,8658.7756,6.947,640,0.4672,4592.2025,26.861,33.808,604,4592.2025,27.039,34.550,604,0.564,0.0000,-4066.5731,0.0000,26.296,-0.742
Case2,2551.2215,3.158,20,0.6905,2551.2215,0.315,20,0.6905,2551.2215,25.162,25.477,20,2551.2215,25.191,28.349,20,2.842,0.0000,0.0000,0.0000,22.319,-2.872
Case3,2679.3897,7.402,48,0.6656,2679.3897,1.631,48,0.6656,2679.3897,25.745,27.377,48,2679.3897,25.753,33.155,48,5.771,0.0000,0.0000,0.0000,19.975,-5.778
Case4_T_shape,2273.3842,3.733,30,0.7463,2273.3842,0.448,30,0.7463,2273.3842,25.221,25.669,30,2273.3842,25.449,29.182,30,3.284,0.0000,0.0000,0.0000,21.937,-3.512
Case5_U_shape,2396.6601,3.190,23,0.7325,2396.6601,0.353,23,0.7325,2396.6601,25.415,25.767,23,2396.6601,25.438,28.628,23,2.837,0.0000,0.0000,0.0000,22.577,-2.861
Case6_obstacle_field,3178.6173,6.208,27,0.6884,3178.6173,0.582,27,0.6884,3178.6173,25.337,25.919,27,3178.6173,25.185,31.393,27,5.626,0.0000,0.0000,0.0000,19.711,-5.474
Case7_variable_ceiling,608.1903,3.523,49,0.8750,608.1903,0.377,49,0.8750,608.1903,26.024,26.401,49,608.1903,26.009,29.532,49,3.146,0.0000,0.0000,0.0000,22.878,-3.131
Case8_corridor,2928.2539,5.790,21,0.6985,2928.2539,0.315,21,0.6985,2928.2539,25.092,25.408,21,2928.2539,25.293,31.083,21,5.474,0.0000,0.0000,0.0000,19.618,-5.675
Case9_complex,2011.9184,7.401,70,0.7145,2011.9184,0.591,70,0.7145,2011.9184,27.335,27.925,70,2011.9184,26.978,34.379,70,6.811,0.0000,0.0000,0.0000,20.524,-6.454
Case_Teixis,1489.8572,7.405,300,0.6210,1489.8572,2.929,300,0.6210,1489.8572,26.062,28.991,300,1489.8572,25.653,33.058,300,4.476,0.0000,0.0000,0.0000,21.587,-4.067
