case,pruned_t_total_s,pruned_t_whole_s,pruned_t_regional_s,pruned_q,pruned_coverage,pruned_n_bays,pruned_winner,full_t_total_s,full_t_whole_s,full_t_regional_s,full_q,full_coverage,full_n_bays,speedup_x,t_saved_s,t_saved_pct,delta_q,delta_q_pct
Case0,4.852,2.770,2.081,1951.24,0.6880,17,whole,4.845,2.767,2.079,1951.24,0.6880,17,1.00,-0.007,-0.14,+0.00,+0.00
Case1,2.545,1.274,1.271,1340.03,0.7920,24,whole,2.847,1.534,1.313,1340.03,0.7920,24,1.12,0.302,10.59,+0.00,+0.00
Case10_donut,5.278,2.689,2.589,2534.48,0.7261,36,regional,5.793,3.149,2.644,2534.48,0.7261,36,1.10,0.515,8.90,+0.00,+0.00
Case11,4.615,2.309,2.306,489.80,0.8640,60,whole,5.507,3.047,2.460,489.80,0.8640,60,1.19,0.892,16.20,+0.00,+0.00
Case12,7.401,3.700,3.701,789.64,0.8352,88,whole,7.401,3.700,3.701,789.64,0.8352,88,1.00,-0.000,-0.00,-0.00,-0.00
Case13,7.402,3.701,3.701,679.26,0.8582,76,whole,7.401,3.700,3.701,679.26,0.8582,76,1.00,-0.001,-0.01,+0.00,+0.00
Case14,7.402,3.701,3.701,835.60,0.8144,84,regional,7.402,3.701,3.701,835.60,0.8144,84,1.00,0.000,0.00,+0.00,+0.00
Case15_mega,7.566,3.865,3.701,8658.78,0.4672,640,whole,7.294,3.708,3.585,8658.78,0.4672,640,0.96,-0.272,-3.73,-0.00,-0.00
Case2,3.276,1.847,1.429,2551.22,0.6905,20,whole,3.557,2.153,1.403,2551.22,0.6905,20,1.09,0.281,7.90,+0.00,+0.00
Case3,7.403,3.702,3.701,2679.39,0.6656,48,regional,7.402,3.701,3.701,2679.39,0.6656,48,1.00,-0.001,-0.01,-0.00,-0.00
Case4_T_shape,3.891,1.988,1.903,2273.38,0.7463,30,whole,4.279,2.362,1.918,2273.38,0.7463,30,1.10,0.388,9.06,+0.00,+0.00
Case5_U_shape,3.343,1.698,1.645,2396.66,0.7325,23,whole,3.621,1.983,1.638,2396.66,0.7325,23,1.08,0.278,7.67,+0.00,+0.00
Case6_obstacle_field,6.610,3.666,2.944,3178.62,0.6884,27,whole,6.551,3.700,2.851,3178.62,0.6884,27,0.99,-0.059,-0.90,+0.00,+0.00
Case7_variable_ceiling,3.760,1.829,1.931,608.19,0.8750,49,whole,3.936,2.109,1.827,608.19,0.8750,49,1.05,0.176,4.48,+0.00,+0.00
Case8_corridor,5.942,2.241,3.701,2928.25,0.6985,21,whole,6.090,2.389,3.701,2928.25,0.6985,21,1.02,0.148,2.43,-0.00,-0.00
Case9_complex,7.401,3.701,3.700,2011.92,0.7145,70,whole,7.401,3.701,3.700,2011.92,0.7145,70,1.00,0.000,0.00,+0.00,+0.00
Case_Teixis,7.405,3.703,3.702,1489.86,0.6210,300,whole,7.402,3.701,3.701,1489.86,0.6210,300,1.00,-0.003,-0.04,+0.00,+0.00
